CMDLINE mpiexec -np 4 python DgaMain.py
MEM 0.199219 1645770832.7597
MEM 1.695312 1645770832.8608
CHLD 0 0.199219 1645770832.8615
MEM 1.707031 1645770832.9625
CHLD 0 1.699219 1645770832.9636
CHLD 1 0.218750 1645770832.9637
CHLD 2 0.214844 1645770832.9637
CHLD 3 0.218750 1645770832.9637
CHLD 4 0.218750 1645770832.9638
MEM 1.707031 1645770833.0652
CHLD 0 1.699219 1645770833.0670
CHLD 1 10.910156 1645770833.0671
CHLD 2 8.839844 1645770833.0671
CHLD 3 9.847656 1645770833.0672
CHLD 4 9.578125 1645770833.0672
MEM 1.707031 1645770833.1685
CHLD 0 1.699219 1645770833.1707
CHLD 1 15.816406 1645770833.1707
CHLD 2 14.730469 1645770833.1708
CHLD 3 15.777344 1645770833.1708
CHLD 4 15.710938 1645770833.1709
MEM 1.707031 1645770833.2712
CHLD 0 1.699219 1645770833.2732
CHLD 1 23.402344 1645770833.2733
CHLD 2 23.195312 1645770833.2733
CHLD 3 23.203125 1645770833.2734
CHLD 4 23.437500 1645770833.2735
MEM 1.707031 1645770833.3743
CHLD 0 1.699219 1645770833.3763
CHLD 1 29.503906 1645770833.3764
CHLD 2 28.734375 1645770833.3765
CHLD 3 29.148438 1645770833.3765
CHLD 4 29.695312 1645770833.3766
MEM 1.707031 1645770833.4776
CHLD 0 1.699219 1645770833.4792
CHLD 1 33.648438 1645770833.4793
CHLD 2 33.667969 1645770833.4793
CHLD 3 33.605469 1645770833.4794
CHLD 4 33.671875 1645770833.4794
MEM 1.707031 1645770833.5801
CHLD 0 1.699219 1645770833.5815
CHLD 1 35.050781 1645770833.5816
CHLD 2 35.105469 1645770833.5816
CHLD 3 35.050781 1645770833.5816
CHLD 4 35.101562 1645770833.5817
MEM 1.707031 1645770833.6821
CHLD 0 1.699219 1645770833.6844
CHLD 1 35.242188 1645770833.6845
CHLD 2 35.304688 1645770833.6845
CHLD 3 35.941406 1645770833.6846
CHLD 4 35.273438 1645770833.6847
MEM 1.707031 1645770833.7850
CHLD 0 1.699219 1645770833.7864
CHLD 1 38.652344 1645770833.7865
CHLD 2 38.664062 1645770833.7865
CHLD 3 38.718750 1645770833.7866
CHLD 4 38.648438 1645770833.7866
MEM 1.707031 1645770833.8892
CHLD 0 1.699219 1645770833.8919
CHLD 1 39.386719 1645770833.8919
CHLD 2 39.375000 1645770833.8920
CHLD 3 39.695312 1645770833.8921
CHLD 4 39.449219 1645770833.8921
MEM 1.707031 1645770833.9928
CHLD 0 1.699219 1645770833.9948
CHLD 1 40.746094 1645770833.9948
CHLD 2 40.828125 1645770833.9949
CHLD 3 41.988281 1645770833.9950
CHLD 4 41.179688 1645770833.9950
MEM 1.707031 1645770834.0958
CHLD 0 1.699219 1645770834.0979
CHLD 1 42.335938 1645770834.0979
CHLD 2 42.351562 1645770834.0980
CHLD 3 42.582031 1645770834.0981
CHLD 4 42.378906 1645770834.0981
MEM 1.707031 1645770834.1987
CHLD 0 1.699219 1645770834.2009
CHLD 1 43.460938 1645770834.2010
CHLD 2 43.410156 1645770834.2011
CHLD 3 43.765625 1645770834.2012
CHLD 4 43.453125 1645770834.2012
MEM 1.707031 1645770834.3022
CHLD 0 1.699219 1645770834.3036
CHLD 1 44.207031 1645770834.3037
CHLD 2 44.160156 1645770834.3037
CHLD 3 44.386719 1645770834.3038
CHLD 4 44.207031 1645770834.3038
MEM 1.707031 1645770834.4044
CHLD 0 1.699219 1645770834.4066
CHLD 1 44.804688 1645770834.4067
CHLD 2 44.476562 1645770834.4068
CHLD 3 44.910156 1645770834.4069
CHLD 4 44.773438 1645770834.4071
MEM 1.707031 1645770834.5078
CHLD 0 1.699219 1645770834.5097
CHLD 1 45.074219 1645770834.5097
CHLD 2 44.925781 1645770834.5098
CHLD 3 47.019531 1645770834.5098
CHLD 4 45.000000 1645770834.5098
MEM 1.707031 1645770834.6121
CHLD 0 1.699219 1645770834.6153
CHLD 1 49.097656 1645770834.6154
CHLD 2 47.968750 1645770834.6155
CHLD 3 53.777344 1645770834.6156
CHLD 4 48.351562 1645770834.6157
MEM 1.707031 1645770834.7162
CHLD 0 1.699219 1645770834.7179
CHLD 1 55.488281 1645770834.7180
CHLD 2 53.839844 1645770834.7180
CHLD 3 57.351562 1645770834.7181
CHLD 4 54.523438 1645770834.7181
MEM 1.707031 1645770834.8186
CHLD 0 1.699219 1645770834.8208
CHLD 1 58.937500 1645770834.8209
CHLD 2 57.636719 1645770834.8210
CHLD 3 61.687500 1645770834.8211
CHLD 4 58.441406 1645770834.8211
MEM 1.707031 1645770834.9223
CHLD 0 1.699219 1645770834.9246
CHLD 1 63.562500 1645770834.9247
CHLD 2 61.699219 1645770834.9247
CHLD 3 66.304688 1645770834.9248
CHLD 4 62.343750 1645770834.9248
MEM 1.707031 1645770835.0256
CHLD 0 1.699219 1645770835.0278
CHLD 1 67.003906 1645770835.0279
CHLD 2 66.406250 1645770835.0279
CHLD 3 67.953125 1645770835.0280
CHLD 4 66.664062 1645770835.0281
MEM 1.707031 1645770835.1289
CHLD 0 1.699219 1645770835.1311
CHLD 1 69.773438 1645770835.1311
CHLD 2 68.574219 1645770835.1312
CHLD 3 70.691406 1645770835.1313
CHLD 4 68.121094 1645770835.1314
MEM 1.707031 1645770835.2318
CHLD 0 1.699219 1645770835.2341
CHLD 1 74.617188 1645770835.2342
CHLD 2 71.500000 1645770835.2343
CHLD 3 76.781250 1645770835.2344
CHLD 4 71.355469 1645770835.2344
MEM 1.707031 1645770835.3351
CHLD 0 1.699219 1645770835.3365
CHLD 1 77.328125 1645770835.3365
CHLD 2 77.203125 1645770835.3366
CHLD 3 77.500000 1645770835.3366
CHLD 4 77.171875 1645770835.3367
MEM 1.707031 1645770835.4370
CHLD 0 1.753906 1645770835.4393
CHLD 1 82.367188 1645770835.4394
CHLD 2 82.359375 1645770835.4394
CHLD 3 82.359375 1645770835.4395
CHLD 4 82.363281 1645770835.4395
MEM 1.707031 1645770835.5405
CHLD 0 1.753906 1645770835.5424
CHLD 1 87.738281 1645770835.5425
CHLD 2 87.726562 1645770835.5425
CHLD 3 87.738281 1645770835.5426
CHLD 4 87.730469 1645770835.5427
MEM 1.707031 1645770835.6445
CHLD 0 1.753906 1645770835.6464
CHLD 1 87.738281 1645770835.6465
CHLD 2 87.726562 1645770835.6466
CHLD 3 87.738281 1645770835.6466
CHLD 4 87.730469 1645770835.6467
MEM 1.707031 1645770835.7502
CHLD 0 1.753906 1645770835.7622
CHLD 1 87.738281 1645770835.7622
CHLD 2 87.726562 1645770835.7623
CHLD 3 87.738281 1645770835.7624
CHLD 4 87.730469 1645770835.7625
MEM 1.707031 1645770835.8665
CHLD 0 1.753906 1645770835.8686
CHLD 1 87.738281 1645770835.8687
CHLD 2 87.726562 1645770835.8687
CHLD 3 87.738281 1645770835.8688
CHLD 4 87.730469 1645770835.8689
MEM 1.707031 1645770836.0305
CHLD 0 1.753906 1645770836.0388
CHLD 1 87.738281 1645770836.0389
CHLD 2 87.726562 1645770836.0390
CHLD 3 87.738281 1645770836.0390
CHLD 4 87.730469 1645770836.0391
MEM 1.707031 1645770836.1398
CHLD 0 1.753906 1645770836.1420
CHLD 1 87.738281 1645770836.1421
CHLD 2 87.726562 1645770836.1421
CHLD 3 87.738281 1645770836.1422
CHLD 4 87.730469 1645770836.1423
MEM 1.707031 1645770836.2427
CHLD 0 1.753906 1645770836.2450
CHLD 1 87.738281 1645770836.2451
CHLD 2 87.726562 1645770836.2451
CHLD 3 87.738281 1645770836.2452
CHLD 4 87.730469 1645770836.2453
MEM 1.707031 1645770836.3466
CHLD 0 1.753906 1645770836.3492
CHLD 1 87.738281 1645770836.3492
CHLD 2 87.726562 1645770836.3493
CHLD 3 87.738281 1645770836.3494
CHLD 4 87.730469 1645770836.3495
MEM 1.707031 1645770836.4499
CHLD 0 1.753906 1645770836.4521
CHLD 1 87.738281 1645770836.4522
CHLD 2 87.726562 1645770836.4522
CHLD 3 87.738281 1645770836.4523
CHLD 4 87.730469 1645770836.4523
MEM 1.707031 1645770836.5532
CHLD 0 1.753906 1645770836.5558
CHLD 1 89.460938 1645770836.5559
CHLD 2 89.625000 1645770836.5560
CHLD 3 89.632812 1645770836.5561
CHLD 4 89.648438 1645770836.5562
MEM 1.707031 1645770836.6573
CHLD 0 1.753906 1645770836.6599
CHLD 1 90.187500 1645770836.6601
CHLD 2 97.984375 1645770836.6601
CHLD 3 99.125000 1645770836.6602
CHLD 4 98.507812 1645770836.6603
MEM 1.707031 1645770836.7610
CHLD 0 1.753906 1645770836.7638
CHLD 1 110.292969 1645770836.7639
CHLD 2 109.242188 1645770836.7640
CHLD 3 110.187500 1645770836.7641
CHLD 4 109.250000 1645770836.7642
